county_name,fips_code,capital_to_wage_ratio,capital_quartile
"Autauga County, Alabama",01001,0.040276845196403545,1
"Baldwin County, Alabama",01003,0.17045951761640876,4
"Barbour County, Alabama",01005,0.07966588374567872,2
"Bibb County, Alabama",01007,0.02442911868898264,1
"Blount County, Alabama",01009,0.039926745470781434,1
"Bullock County, Alabama",01011,0.10161413761914702,3
"Butler County, Alabama",01013,0.05787818591493932,2
"Calhoun County, Alabama",01015,0.05601370321689172,1
"Chambers County, Alabama",01017,0.042578009443888995,1
"Cherokee County, Alabama",01019,0.0656591030961203,2
"Chilton County, Alabama",01021,0.04564129534203516,1
"Choctaw County, Alabama",01023,0.049168626338973606,1
"Clarke County, Alabama",01025,0.05270465103860736,1
"Clay County, Alabama",01027,0.036952423200621046,1
"Cleburne County, Alabama",01029,0.07483827952108041,2
"Coffee County, Alabama",01031,0.0819786108347653,2
"Colbert County, Alabama",01033,0.06580361661906388,2
"Conecuh County, Alabama",01035,0.04468360040700905,1
"Coosa County, Alabama",01037,0.03769048233494678,1
"Covington County, Alabama",01039,0.06466981101089792,2
"Crenshaw County, Alabama",01041,0.04751815712882936,1
"Cullman County, Alabama",01043,0.07973605815826579,2
"Dale County, Alabama",01045,0.03814177033367658,1
"Dallas County, Alabama",01047,0.06282024812778017,2
"DeKalb County, Alabama",01049,0.06061672750056588,2
"Elmore County, Alabama",01051,0.07706734051355954,2
"Escambia County, Alabama",01053,0.06997968669804024,2
"Etowah County, Alabama",01055,0.07094768525137878,2
"Fayette County, Alabama",01057,0.03267383884676923,1
"Franklin County, Alabama",01059,0.04324660477927217,1
"Geneva County, Alabama",01061,0.046930662398678304,1
"Greene County, Alabama",01063,0.042494807864068264,1
"Hale County, Alabama",01065,0.04971287286648588,1
"Henry County, Alabama",01067,0.0702246607844591,2
"Houston County, Alabama",01069,0.07299953334894985,2
"Jackson County, Alabama",01071,0.059365968084197106,2
"Jefferson County, Alabama",01073,0.1705160301898445,4
"Lamar County, Alabama",01075,0.0337942843316986,1
"Lauderdale County, Alabama",01077,0.12267133497033805,3
"Lawrence County, Alabama",01079,0.025854791710959092,1
"Lee County, Alabama",01081,0.10760175626218677,3
"Limestone County, Alabama",01083,0.06255101395410476,2
"Lowndes County, Alabama",01085,0.10520820228959618,3
"Macon County, Alabama",01087,0.05023545673921702,1
"Madison County, Alabama",01089,0.08664726169966633,3
"Marengo County, Alabama",01091,0.043237470304747984,1
"Marion County, Alabama",01093,0.048679570191726494,1
"Marshall County, Alabama",01095,0.06752830454655406,2
"Mobile County, Alabama",01097,0.09152782449353275,3
"Monroe County, Alabama",01099,0.048870695178998884,1
"Montgomery County, Alabama",01101,0.13363175963766394,4
"Morgan County, Alabama",01103,0.08457154694153451,3
"Perry County, Alabama",01105,0.017554715687861162,1
"Pickens County, Alabama",01107,0.03656888779992145,1
"Pike County, Alabama",01109,0.08510271418081493,3
"Randolph County, Alabama",01111,0.08586802887704181,3
"Russell County, Alabama",01113,0.03152394863510716,1
"St. Clair County, Alabama",01115,0.053881658121592214,1
"Shelby County, Alabama",01117,0.10690728151697866,3
"Sumter County, Alabama",01119,0.042002198021780394,1
"Talladega County, Alabama",01121,0.04466591628510128,1
"Tallapoosa County, Alabama",01123,0.10891586981029547,3
"Tuscaloosa County, Alabama",01125,0.1076437247826816,3
"Walker County, Alabama",01127,0.09026849044581528,3
"Washington County, Alabama",01129,0.035402846888135324,1
"Wilcox County, Alabama",01131,0.06612191154829215,2
"Winston County, Alabama",01133,0.047469789879159514,1
"Aleutians East Borough, Alaska",02013,0.025771458339717463,1
"Aleutians West Census Area, Alaska",02016,0.015369234553403527,1
"Anchorage Municipality, Alaska",02020,0.09427820834895875,3
"Bethel Census Area, Alaska",02050,0.029604990294805646,1
"Bristol Bay Borough, Alaska",02060,0.04550824837001707,1
"Chugach Census Area, Alaska",02063,0.08022414682605021,2
"Copper River Census Area, Alaska",02066,0.05233621173446297,1
"Denali Borough, Alaska",02068,0.04116139772486168,1
"Dillingham Census Area, Alaska",02070,0.02916282032946316,1
"Fairbanks North Star Borough, Alaska",02090,0.07927531316173943,2
