county_name,fips_code,unemployment_velocity,gdp_velocity,quadrant
"Autauga County, Alabama",01001,0.06666666666666658,6598.333333333333,Growing but Loosening
"Baldwin County, Alabama",01003,0.09999999999999994,503735.6666666667,Growing but Loosening
"Barbour County, Alabama",01005,0.0,-3104.3333333333335,Slowing but Tightening
"Bibb County, Alabama",01007,0.10000000000000009,5115.666666666667,Growing but Loosening
"Blount County, Alabama",01009,0.09999999999999994,47252.666666666664,Growing but Loosening
"Bullock County, Alabama",01011,0.09999999999999994,9824.333333333334,Growing but Loosening
"Butler County, Alabama",01013,0.0,20709.0,Accelerating & Tightening
"Calhoun County, Alabama",01015,0.16666666666666666,83446.66666666667,Growing but Loosening
"Chambers County, Alabama",01017,0.10000000000000009,38491.333333333336,Growing but Loosening
"Cherokee County, Alabama",01019,0.09999999999999994,12136.666666666666,Growing but Loosening
"Chilton County, Alabama",01021,0.10000000000000009,53846.333333333336,Growing but Loosening
"Choctaw County, Alabama",01023,0.20000000000000004,-6650.333333333333,Decelerating & Loosening
"Clarke County, Alabama",01025,0.2333333333333334,-3326.6666666666665,Decelerating & Loosening
"Clay County, Alabama",01027,0.16666666666666666,-3768.0,Decelerating & Loosening
"Cleburne County, Alabama",01029,0.10000000000000009,16476.0,Growing but Loosening
"Coffee County, Alabama",01031,0.13333333333333344,68413.33333333333,Growing but Loosening
"Colbert County, Alabama",01033,0.13333333333333344,83000.66666666667,Growing but Loosening
"Conecuh County, Alabama",01035,0.16666666666666652,4829.0,Growing but Loosening
"Coosa County, Alabama",01037,0.20000000000000004,3059.0,Growing but Loosening
"Covington County, Alabama",01039,0.1333333333333333,4819.0,Growing but Loosening
"Crenshaw County, Alabama",01041,0.03333333333333336,26274.333333333332,Growing but Loosening
"Cullman County, Alabama",01043,0.1333333333333333,81106.0,Growing but Loosening
"Dale County, Alabama",01045,0.13333333333333344,66264.66666666667,Growing but Loosening
"Dallas County, Alabama",01047,0.033333333333333215,18065.0,Growing but Loosening
"DeKalb County, Alabama",01049,0.09999999999999994,81102.0,Growing but Loosening
"Elmore County, Alabama",01051,0.06666666666666658,121839.66666666667,Growing but Loosening
"Escambia County, Alabama",01053,0.03333333333333336,30594.333333333332,Growing but Loosening
"Etowah County, Alabama",01055,0.09999999999999994,65830.0,Growing but Loosening
"Fayette County, Alabama",01057,0.06666666666666658,7044.666666666667,Growing but Loosening
"Franklin County, Alabama",01059,0.13333333333333344,19367.333333333332,Growing but Loosening
"Geneva County, Alabama",01061,0.13333333333333344,10410.0,Growing but Loosening
"Greene County, Alabama",01063,0.5333333333333332,5914.0,Growing but Loosening
"Hale County, Alabama",01065,0.0,9416.666666666666,Accelerating & Tightening
"Henry County, Alabama",01067,0.1333333333333333,16888.333333333332,Growing but Loosening
"Houston County, Alabama",01069,0.09999999999999994,76249.66666666667,Growing but Loosening
"Jackson County, Alabama",01071,0.19999999999999987,34174.333333333336,Growing but Loosening
"Jefferson County, Alabama",01073,0.1333333333333333,1051638.0,Growing but Loosening
"Lamar County, Alabama",01075,0.13333333333333344,133.66666666666666,Growing but Loosening
"Lauderdale County, Alabama",01077,0.16666666666666666,79174.33333333333,Growing but Loosening
"Lawrence County, Alabama",01079,0.09999999999999994,15173.333333333334,Growing but Loosening
"Lee County, Alabama",01081,0.09999999999999994,194930.0,Growing but Loosening
"Limestone County, Alabama",01083,0.16666666666666666,271952.0,Growing but Loosening
"Lowndes County, Alabama",01085,0.10000000000000024,16157.0,Growing but Loosening
"Macon County, Alabama",01087,0.0,22247.666666666668,Accelerating & Tightening
"Madison County, Alabama",01089,0.09999999999999994,1440794.3333333333,Growing but Loosening
"Marengo County, Alabama",01091,0.10000000000000009,10793.333333333334,Growing but Loosening
"Marion County, Alabama",01093,0.20000000000000004,14026.666666666666,Growing but Loosening
"Marshall County, Alabama",01095,0.09999999999999994,105746.33333333333,Growing but Loosening
"Mobile County, Alabama",01097,0.09999999999999994,768831.0,Growing but Loosening
"Monroe County, Alabama",01099,0.4333333333333334,-5359.666666666667,Decelerating & Loosening
"Montgomery County, Alabama",01101,0.0,465904.6666666667,Accelerating & Tightening
"Morgan County, Alabama",01103,0.06666666666666658,219655.0,Growing but Loosening
"Perry County, Alabama",01105,0.033333333333333215,3702.6666666666665,Growing but Loosening
"Pickens County, Alabama",01107,0.20000000000000004,-1121.3333333333333,Decelerating & Loosening
"Pike County, Alabama",01109,0.13333333333333344,35557.666666666664,Growing but Loosening
"Randolph County, Alabama",01111,0.2666666666666666,6920.333333333333,Growing but Loosening
"Russell County, Alabama",01113,0.2666666666666666,52446.0,Growing but Loosening
"St. Clair County, Alabama",01115,0.06666666666666658,98672.33333333333,Growing but Loosening
"Shelby County, Alabama",01117,0.1333333333333334,123871.33333333333,Growing but Loosening
"Sumter County, Alabama",01119,0.2666666666666668,8917.666666666666,Growing but Loosening
"Talladega County, Alabama",01121,0.03333333333333336,169732.33333333334,Growing but Loosening
"Tallapoosa County, Alabama",01123,0.03333333333333336,33207.333333333336,Growing but Loosening
"Tuscaloosa County, Alabama",01125,0.1333333333333333,303805.0,Growing but Loosening
"Walker County, Alabama",01127,0.09999999999999994,93584.33333333333,Growing but Loosening
"Washington County, Alabama",01129,-0.19999999999999987,59321.0,Accelerating & Tightening
"Wilcox County, Alabama",01131,0.06666666666666643,8795.333333333334,Growing but Loosening
"Winston County, Alabama",01133,0.20000000000000004,-853.3333333333334,Decelerating & Loosening
"Aleutians East Borough, Alaska",02013,0.2666666666666666,-17752.333333333332,Decelerating & Loosening
"Aleutians West Census Area, Alaska",02016,-0.03333333333333336,48041.0,Accelerating & Tightening
"Anchorage Municipality, Alaska",02020,0.06666666666666658,657009.6666666666,Growing but Loosening
"Bethel Census Area, Alaska",02050,0.8666666666666666,4140.0,Growing but Loosening
"Bristol Bay Borough, Alaska",02060,-0.16666666666666666,-1573.0,Slowing but Tightening
"Denali Borough, Alaska",02068,-0.19999999999999987,18020.666666666668,Accelerating & Tightening
"Dillingham Census Area, Alaska",02070,0.6,5218.333333333333,Growing but Loosening
"Fairbanks North Star Borough, Alaska",02090,0.033333333333333215,77312.33333333333,Growing but Loosening
"Haines Borough, Alaska",02100,0.16666666666666666,6839.0,Growing but Loosening
"Hoonah-Angoon Census Area, Alaska",02105,0.3333333333333333,8709.333333333334,Growing but Loosening
