county_name,fips_code,data_tier,num_returns,capital_to_wage_ratio,capital_to_wage_ratio_normalized_mean,relative_move,low_return_flag,thin_claimer_flag,concentrated_gain_flag
"Autauga County, Alabama",01001,T3 mid (11.7k-100k),25750.0,0.040276845196403545,0.24901082461315652,0.30898568327756937,False,False,False
"Baldwin County, Alabama",01003,T4 large (>=100k),113660.0,0.17045951761640876,0.8969631053721214,0.23318471271171654,False,False,False
"Barbour County, Alabama",01005,T2 small (2.2k-11.7k),9590.0,0.07966588374567872,0.4290374689567716,0.2634376038347149,False,False,False
"Bibb County, Alabama",01007,T2 small (2.2k-11.7k),8220.0,0.02442911868898264,0.38835214845143556,0.9081423139607392,False,False,False
"Blount County, Alabama",01009,T3 mid (11.7k-100k),24370.0,0.039926745470781434,0.208764938358149,0.18250715904459583,False,False,False
"Bullock County, Alabama",01011,T2 small (2.2k-11.7k),3860.0,0.10161413761914702,0.4278071273276954,0.019219440943583535,False,False,False
"Butler County, Alabama",01013,T2 small (2.2k-11.7k),7650.0,0.05787818591493932,0.40103419791795825,0.538615962488358,False,False,False
"Calhoun County, Alabama",01015,T3 mid (11.7k-100k),48650.0,0.05601370321689172,0.3309248962993441,0.3404388700223094,False,False,False
"Chambers County, Alabama",01017,T3 mid (11.7k-100k),13950.0,0.042578009443888995,0.2795444529826306,0.44546246645235976,False,False,False
"Cherokee County, Alabama",01019,T2 small (2.2k-11.7k),10300.0,0.0656591030961203,0.3386793561079099,0.303362655710896,False,False,False
"Chilton County, Alabama",01021,T3 mid (11.7k-100k),18500.0,0.04564129534203516,0.229693167181121,0.23070703237754578,False,False,False
"Choctaw County, Alabama",01023,T2 small (2.2k-11.7k),4810.0,0.049168626338973606,0.2686021319855965,0.08529200921919254,False,False,False
"Clarke County, Alabama",01025,T2 small (2.2k-11.7k),9830.0,0.05270465103860736,0.36822319395313124,0.2792528444029305,False,False,False
"Clay County, Alabama",01027,T2 small (2.2k-11.7k),5670.0,0.036952423200621046,0.21420550609982345,0.35794749815222066,False,False,False
"Cleburne County, Alabama",01029,T2 small (2.2k-11.7k),6180.0,0.07483827952108041,0.27545095684448684,0.4522051345841188,False,False,False
"Coffee County, Alabama",01031,T3 mid (11.7k-100k),22770.0,0.0819786108347653,0.39591183582317746,0.004433569912677514,False,False,False
"Colbert County, Alabama",01033,T3 mid (11.7k-100k),24710.0,0.06580361661906388,0.3532138946699351,0.3941874970309053,False,False,False
"Conecuh County, Alabama",01035,T2 small (2.2k-11.7k),4690.0,0.04468360040700905,0.24871244337944,0.2594935543537603,False,False,False
"Coosa County, Alabama",01037,T2 small (2.2k-11.7k),4040.0,0.03769048233494678,0.1901810873635747,0.4435708036797876,False,False,False
"Covington County, Alabama",01039,T3 mid (11.7k-100k),14960.0,0.06466981101089792,0.2993548808142641,0.008178608855728879,False,False,False
"Crenshaw County, Alabama",01041,T2 small (2.2k-11.7k),5650.0,0.04751815712882936,0.22465391303028462,0.25299299480893045,False,False,False
"Cullman County, Alabama",01043,T3 mid (11.7k-100k),37040.0,0.07973605815826579,0.42645759371818104,0.3980368943074092,False,False,False
"Dale County, Alabama",01045,T3 mid (11.7k-100k),20610.0,0.03814177033367658,0.21459893971059724,0.3069478867747051,False,False,False
"Dallas County, Alabama",01047,T3 mid (11.7k-100k),14410.0,0.06282024812778017,0.4418708079846977,0.5205580060937486,False,False,False
"DeKalb County, Alabama",01049,T3 mid (11.7k-100k),28650.0,0.06061672750056588,0.33200659496727536,0.2560319022660957,False,False,False
