county_name,fips_code,metro_2023,distress_count,unemployment_velocity,gdp_velocity_pct
"Autauga County, Alabama",01001,True,0,0.06666666666666658,0.0037532818700463837
"Baldwin County, Alabama",01003,True,1,0.09999999999999994,0.04934252500125054
"Barbour County, Alabama",01005,False,5,0.0,-0.004151565808536721
"Bibb County, Alabama",01007,True,2,0.10000000000000009,0.010741038578014431
"Blount County, Alabama",01009,True,0,0.09999999999999994,0.04021506968658413
"Bullock County, Alabama",01011,False,4,0.09999999999999994,0.03356508766235615
"Butler County, Alabama",01013,False,2,0.0,0.02948236098060989
"Calhoun County, Alabama",01015,True,0,0.16666666666666666,0.016805130767399173
"Chambers County, Alabama",01017,False,0,0.10000000000000009,0.038878603098800486
"Cherokee County, Alabama",01019,False,0,0.09999999999999994,0.01917358226867555
"Chilton County, Alabama",01021,True,1,0.10000000000000009,0.0426876866639924
"Choctaw County, Alabama",01023,False,2,0.20000000000000004,-0.012021919168546691
"Clarke County, Alabama",01025,False,4,0.2333333333333334,-0.003990684670332658
"Clay County, Alabama",01027,False,0,0.16666666666666666,-0.008810346077314995
"Cleburne County, Alabama",01029,False,0,0.10000000000000009,0.044233009917257746
"Coffee County, Alabama",01031,False,0,0.13333333333333344,0.03759523827841505
"Colbert County, Alabama",01033,True,0,0.13333333333333344,0.0291508109187056
"Conecuh County, Alabama",01035,False,2,0.16666666666666652,0.012149803122366054
"Coosa County, Alabama",01037,False,2,0.20000000000000004,0.01616064494656263
"Covington County, Alabama",01039,False,0,0.1333333333333333,0.003755545840025749
"Crenshaw County, Alabama",01041,False,1,0.03333333333333336,0.05253301182914158
"Cullman County, Alabama",01043,False,0,0.1333333333333333,0.024661612069004836
"Dale County, Alabama",01045,False,1,0.13333333333333344,0.02127652970611067
"Dallas County, Alabama",01047,False,3,0.033333333333333215,0.013703825920067969
"DeKalb County, Alabama",01049,False,0,0.09999999999999994,0.034017083620821634
"Elmore County, Alabama",01051,True,0,0.06666666666666658,0.05012377391691652
"Escambia County, Alabama",01053,False,4,0.03333333333333336,0.02354986285693759
"Etowah County, Alabama",01055,True,0,0.09999999999999994,0.021096005250447365
"Fayette County, Alabama",01057,False,1,0.06666666666666658,0.01912913296168471
"Franklin County, Alabama",01059,False,0,0.13333333333333344,0.018551920760161933
"Geneva County, Alabama",01061,True,0,0.13333333333333344,0.01694189791570714
"Greene County, Alabama",01063,True,3,0.5333333333333332,0.02739865647440352
"Hale County, Alabama",01065,True,3,0.0,0.03319936069195694
